artist_name,genre_name,source,confidence,source_url
Mike Williams,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mike Williams,future bounce,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mike Williams,future house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Milano,disco polo,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Milano,hip-hop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Milano,pop music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Milano,pornographic film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Miss Monique,melodic techno,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Miss Monique,progressive house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mona Lee,pornographic film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Moritz Hofbauer,afro house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Moritz Hofbauer,deep house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Moritz Hofbauer,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
